Date,Value
20190112,0.9565776
20190113,0.858438
20190114,0.9853164
20190115,0.8857188
20190116,0.8610624
20190117,0.8535456
20190118,0.8805996
20190119,0.8768736
20190120,0.8401968
20190121,0.9352908
20190122,0.927612
20190123,1.0221552
20190124,1.0736388
20190125,1.1147544
20190126,1.1321856
20190127,1.09836
20190128,1.1112228
20190129,1.235736
20190130,1.1005308
20190131,1.0428588
20190201,1.1463768
20190202,1.1478672
20190203,1.0934676
20190204,0.9978876
20190205,1.384614
20190206,1.8726552
20190207,1.7894844
20190208,1.8052308
20190209,2.08008
20190210,2.4592572
20190211,2.4155496
20190212,2.1407328
20190213,2.0117484
20190214,1.2350556
20190215,1.2763008
20190216,1.7219304
20190217,1.6962372
20190218,1.4027904
20190219,1.2445812
20190220,1.3014108
20190221,1.4268636
20190222,1.4519412
20190223,1.7177508
20190224,1.8854208
20190225,1.2520656
20190226,1.0903572
20190227,1.2108852
20190228,1.2991752
20190301,1.1368512
20190302,1.1151432
20190303,1.1170872
20190304,1.185354
20190305,1.0611972
20190306,1.0245852
20190307,0.97362
20190308,1.1183508
20190309,1.2575088
20190310,1.2500568
20190311,1.1841552
20190312,1.0632384
20190313,1.0302552
20190314,0.982206
20190315,1.1271312
20190316,1.2797028
20190317,1.2521952
20190318,1.2353796
20190319,1.0763928
20190320,1.0313892
20190321,0.978318
20190322,1.080702
20190323,1.2082608
20190324,1.1548332
20190325,1.2040812
20190326,1.0757448
20190327,1.0200816
20190328,0.9941292
20190329,1.0924956
20190330,1.260036
20190331,1.4173056
20190401,1.1870064
20190402,1.1849328
20190403,1.1275524
20190404,1.4206104
20190405,2.2644684
20190406,2.0380572
20190407,2.4370956
20190408,1.995192
20190409,1.2514176
20190410,1.1841552
20190411,1.2228732
20190412,1.2775644
20200101,0.7910784
20200102,0.7168176
20200103,1.1498436
20200104,1.3494924
20200105,1.1389572
20200106,1.0658952
20200107,0.8842284
20200108,1.0451592
20200109,1.0780128
20200110,1.056888
20200111,1.0424376
20200112,1.0425672
20200113,1.0866636
20200114,0.9986976
20200115,0.9890424
20200116,0.9635112
20200117,0.9349668
20200118,1.0072188
20200119,1.0633032
20200120,1.0903248
20200121,1.2335004
20200122,1.1248308
20200123,1.0594476
20200124,0.9627336
20200125,0.6571044
20200126,0.8013168
20200127,0.637956
20200128,0.5317488
20200129,0.4930308
20200130,0.5032692
20200131,0.445824
20200201,0.339066
20200202,0.4115124
20200203,0.3119796
20200204,0.2330856
20200205,0.215622
20200206,0.199746
20200207,0.2099844
20200208,0.2744928
20200209,0.2778948
20200210,0.2501928
20200211,0.2187648
20200212,0.2181168
20200213,0.2423196
20200214,0.2441988
20200215,0.2301696
20200216,0.2405376
20200217,0.2706696
20200218,0.287874
20200219,0.3000888
20200220,0.3371544
20200221,0.3660228
20200222,0.5116284
20200223,0.6303096
20200224,0.669708
20200225,0.684126
20200226,0.6857136
20200227,0.6172848
20200228,0.631638
20200229,0.7567992
20200301,0.729162
20200302,0.8131104
20200303,0.8033256
20200304,0.773064
20200305,0.7715736
20200306,0.8167068
20200307,0.8673156
20200308,0.8059176
20200309,0.8334576
20200310,0.8224416
20200311,0.8145684
20200312,0.8002152
20200313,0.7911108
20200314,0.8108748
20200315,0.7896528
20200316,0.8572716
20200317,0.7992108
20200318,0.7859268
20200319,0.8044272
20200320,0.8331012
20200321,0.9424512
20200322,0.9614052
20200323,1.0515744
20200324,0.9096948
20200325,0.8933328
20200326,0.8460288
