Date,Value
20190112,0.8933328
20190113,0.793962
20190114,0.8659872
20190115,0.8814744
20190116,0.9094032
20190117,0.9582948
20190118,0.9735228
20190119,0.9952632
20190120,0.8783316
20190121,0.958554
20190122,1.0495008
20190123,1.1169252
20190124,1.0162908
20190125,1.0602576
20190126,1.178388
20190127,1.1297232
20190128,1.3351068
20190129,1.3608324
20190130,1.3585644
20190131,1.4460444
20190201,1.5253272
20190202,1.6056792
20190203,1.6011108
20190204,1.5069888
20190205,1.2152592
20190206,1.3406472
20190207,1.750086
20190208,1.6362
20190209,1.6196436
20190210,1.70181
20190211,1.7884152
20190212,1.889244
20190213,2.0125908
20190214,2.1504852
20190215,2.0994876
20190216,2.0113272
20190217,2.106162
20190218,2.2366692
20190219,1.6202592
20190220,1.4389164
20190221,2.0070504
20190222,2.1258612
20190223,2.1280968
20190224,1.9609128
20190225,1.5228648
20190226,1.4013648
20190227,1.5436008
20190228,1.4884884
20190301,1.2153564
20190302,1.1638728
20190303,1.1307924
20190304,1.1194524
20190305,1.140966
20190306,1.0547496
20190307,1.0242288
20190308,1.0280196
20190309,1.1306628
20190310,1.0959948
20190311,1.1465064
20190312,1.0692648
20190313,1.0709496
20190314,0.9999288
20190315,1.0592208
20190316,1.2238776
20190317,1.04085
20190318,1.0289916
20190319,0.9683712
20190320,0.9701856
20190321,0.9176976
20190322,0.9645804
20190323,1.1343888
20190324,0.985284
20190325,1.012824
20190326,0.9658116
20190327,0.9712548
20190328,0.926316
20190329,1.021572
20190330,1.1452428
20190331,1.3753476
20190401,1.0563048
20190402,1.1267748
20190403,1.3572036
20190404,2.1729708
20190405,3.9358872
20190406,1.775844
20190407,1.578204
20190408,1.4156532
20190409,1.156032
20190410,1.0848816
20190411,1.0391004
20190412,1.1043864
20200101,0.7082316
20200102,0.7291944
20200103,0.9914076
20200104,1.1510748
20200105,1.0765548
20200106,1.1044512
20200107,1.1871036
20200108,1.308474
20200109,1.3865904
20200110,1.2291912
20200111,1.375866
20200112,1.1875248
20200113,1.05786
20200114,1.0415628
20200115,1.0911348
20200116,1.1236968
20200117,1.2675204
20200118,1.4991156
20200119,1.3326444
20200120,1.4124456
20200121,1.7346312
20200122,1.7044668
20200123,1.7310996
20200124,1.5894144
20200125,0.785052
20200126,0.4960764
20200127,0.4364928
20200128,0.3696192
20200129,0.3143124
20200130,0.2875176
20200131,0.2328912
20200201,0.1877904
20200202,0.1669248
20200203,0.1165104
20200204,0.0579636
20200205,0.0433512
20200206,0.035478
20200207,0.0337608
20200208,0.0339876
20200209,0.0369036
20200210,0.0391068
20200211,0.041958
20200212,0.0459756
20200213,0.0595836
20200214,0.0681048
20200215,0.091854
20200216,0.1043928
20200217,0.1404216
20200218,0.1855548
20200219,0.2309148
20200220,0.357048
20200221,0.5154516
20200222,0.7190856
20200223,0.9916344
20200224,1.0309356
20200225,1.2750048
20200226,1.3317372
20200227,1.2832668
20200228,1.2601008
20200229,1.4984352
20200301,1.2082608
20200302,1.233468
20200303,1.2636648
20200304,1.1913804
20200305,1.0362816
20200306,1.1095704
20200307,1.1142684
20200308,0.9669456
20200309,0.9099864
20200310,1.0360548
20200311,0.9513612
20200312,0.921132
20200313,0.9632196
20200314,0.947376
20200315,0.8575632
20200316,0.9316944
20200317,0.8631036
20200318,0.8713332
20200319,0.900234
20200320,0.972162
20200321,1.0480752
20200322,1.0581192
20200323,1.03518
20200324,0.9520092
20200325,0.9252468
20200326,1.002132
